"","ISO.3166.1.country.code","FIPS.5.2.subdivision.code","GNS.FD","GNS.UFI","ISO.639.1.language.code","language.script","name","latitude","longitude"
"181810","US","25","PPL",NA,"en","english","Heath","42.673417","-72.8217618"
"228108","US","39","PPL",NA,"en","english","Plymouth","40.9956112","-82.6671207"
"218434","US","34","PPL",NA,"en","english","Wayne","40.9253763","-74.2765368"
"60444","ID","33","ADM4",11105918,"ind","latin","Rocek","-6.3549","106.0532"
"189147","US","24","PPL",NA,"en","english","The Pointe","39.4684413","-76.3177362"
"263080","US","48","PPL",NA,"en","english","Lago Vista","30.4601975","-97.9883477"
"48162","ID","8","PPLA3",10514863,"ind","latin","Pengkok","-7.1667","111.6099"
"154956","US","13","PPL",NA,"en","english","Gillionville","31.5871167","-84.4332463"
"15725","FI","29","PPLA2",-1371995,"swe","latin","Korsnäs","62.783333","21.2"
"190151","US","24","PPL",NA,"en","english","Ulmstead Acres","39.0614995","-76.4816277"
"219430","US","35","PPL",NA,"en","english","Eakins","31.7209301","-108.8247748"
"162443","US","19","PPL",NA,"en","english","Eldridge","41.6580864","-90.5845823"
"98493","PT","13","ADM2",11972853,"pt","latin","Pombal","39.931532","-8.683061"
"23642","FR","A7","PPL",-1456861,"fr","latin","Parc","49.581815",".389509"
"261257","US","47","PPL",NA,"en","english","Greenville","36.2969971","-86.8883332"
"88066","NL","6","ADM2",-2144286,"nl","latin","Etten-Leur","51.577106","4.642526"
"250974","US","45","PPL",NA,"en","english","Kensington","33.1304476","-79.8400789"
"186829","US","24","PPL",NA,"en","english","Chadwick Manor","39.3098284","-76.7663622"
"243422","US","42","PPL",NA,"en","english","Cobbs Creek","39.9476128","-75.2401818"
"180085","US","22","PPL",NA,"en","english","Woodstone","32.4137657","-93.6932336"
"96807","PW","4","ADM1",-3738137,"en|pau","latin","Hatohobei","3","131.175"
"3642","AT","5","PPL",-1990263,"de","latin","Sankt Margarethen","47.083333","13.683333"
"127056","US","1","PPL",NA,"en","english","Standard","33.7359417","-87.2705583"
"36614","GT","22","ADM2",-1135950,"es","latin","Huité","14.933333","-89.716667"
"102638","SB","","PPL",-1550748,"en","latin","Korai","-9.735045","160.764135"
"234460","US","40","PPL",NA,"en","english","Coal Creek","35.1889858","-94.6607793"
"5809","BW","","PPL",-1398190,"en","latin","Tsuli","-19.883333","26.516667"
"255916","US","47","PPL",NA,"en","english","Clinchmore","36.2195234","-84.2821512"
"98645","PT","9","PPLA2",-2169590,"pt","latin","Monchique","37.317748","-8.555294"
"232559","US","39","PPL",NA,"en","english","Deering","38.5034142","-82.5832148"
"270146","US","48","PPL",NA,"en","english","Glenshannon","29.5063","-95.2086"
"121916","YE","11","ADM1",-3186338,"ara","latin","Dhamār","14.682965","44.272937"
"60990","ID","30","PPLA3",-2680693,"ind","latin","Kalibunder","-7.2627","106.7222"
"30814","GH","","PPL",-2073061,"en","latin","Fahoiden","6.733108","-2.571589"
"95230","NG","57","PPL",-2029693,"en","latin","Ungwa Magoje","11.381113","6.449314"
"69732","ID","30","ADM4",11253090,"ind","latin","Setiaratu","-7.3429","108.2372"
"101045","SL","2","PPL",-1314584,"en","latin","Bar","8.933333","-11.966667"
"254900","US","46","PPL",NA,"en","english","Gretna","45.4505347","-99.5148398"
"185027","US","24","PPL",NA,"en","english","Glen Echo","38.9689993","-77.1424791"
"55644","ID","7","ADM4",10157903,"ind","latin","Kandangan","-7.1197","110.9505"
"235022","US","40","PPL",NA,"en","english","Tahona","35.1614859","-94.6032781"
"112208","TH","33","PPL",-3240456,"th","latin","Ban Nong Katha","14.833333","100.283333"
"114016","TH","27","ADM2",10847209,"tha","english","วังน้ำเขียว","14.447864","101.855328"
"190048","US","24","PPL",NA,"en","english","Wedgewood Forest","39.1178866","-76.6788569"
"170824","US","18","PPL",NA,"en","english","Wallen","41.1611596","-85.166083"
"77657","KR","13","ADM1",-710790,"kor","english","京畿","37.6","127.25"
"175249","US","21","PPL",NA,"en","english","Blacks Crossroads","38.2509092","-84.1382625"
"165527","US","17","PPL",NA,"en","english","San Jose","40.305598","-89.6028829"
"242745","US","42","PPL",NA,"en","english","Forksville","41.4870203","-76.6021722"
"92843","NG","22","PPL",-2012779,"en","latin","Itaka","6.7851","8.652"
"243393","US","42","PPL",NA,"en","english","West Mount Airy","40.0526114","-75.1979557"
"131509","US","5","PPL",NA,"en","english","Baker Ford","36.3764538","-91.5612523"
"279283","US","51","PPL",NA,"en","english","Runaway Village","37.356802","-79.9067061"
"192324","US","23","PPL",NA,"en","english","Weld","44.6986707","-70.4214543"
"285573","US","55","PPL",NA,"en","english","Drywood","45.0482974","-91.1682019"
"283071","US","53","PPL",NA,"en","english","Fallon","46.8346109","-117.1157261"
"283194","US","53","PPL",NA,"en","english","Lamberts Corner","47.0034298","-122.9656975"
"7382","CM","5","PPL",9059356,"en","english","Mbouzie","4.724","9.7015"
"25544","FR","A2","PPL",-1418881,"fr","latin","Chartres","48.039244","-1.70533"
"166445","US","17","PPL",NA,"en","english","Huffaker","39.6747714","-89.9564973"
"248670","US","72","PPL",NA,"es","latin","Moca Gardens","18.3907801","-67.1074022"
"274121","US","51","PPL",NA,"en","english","Dahlgrens Corner","37.7090308","-76.9246885"
"282216","US","50","PPL",NA,"en","english","South Randolph","43.8947884","-72.5762122"
"225312","US","36","PPL",NA,"en","english","Unionville","42.9517308","-77.0374699"
"283391","US","53","PPL",NA,"en","english","Sagemoor","46.3987477","-119.0616754"
"122567","ZM","2","ADM2",-2297092,"en","latin","Mumbwa","-15","26.5"
"142676","US","8","PPL",NA,"en","english","Copperdale","39.9141533","-105.349437"
"45154","ID","8","ADM4",10283971,"ind","latin","Tulungrejo","-7.9807","112.3521"
"76356","JP","11","ADM3",10679611,"jpn","english","おおさきかみじま","34.24421","132.891663"
"89814","NG","48","PPL",10288740,"en","latin","Ago-Joseph","7.311295","5.443988"
"219998","US","35","PPL",NA,"en","english","Montecito","36.1900236","-105.8550182"
"81853","LR","22","PPL",-2135924,"en","latin","Worekehn","5.272778","-8.112778"
"283865","US","53","PPL",NA,"en","english","Kellys Korner","46.9848189","-122.7681883"
"163250","US","16","PPL",NA,"en","english","Orogrande","45.7054613","-115.5434627"
"73115","IE","27","PPLA",-1506148,"eng","latin","Waterford","52.258333","-7.111944"
"139552","US","6","PPL",NA,"en","english","Mount Jackson","38.5132452","-122.9049949"
"10842","CA","10","PPL",-567548,"en","english","Lac Chat","47.165508","-72.639588"
"39298","ID","7","ADM4",6357256,"ind","latin","Krinjing","-7.281389","109.874167"
"156547","US","13","PPL",NA,"en","english","Denton Manor","33.9231588","-84.7854936"
"81601","LR","20","PPL",-2136135,"en","latin","Yeala","7.825833","-9.4025"
"141286","US","6","PPL",NA,"en","english","Riverkern","35.7896726","-118.44703"
"73136","IE","3","PPLA",-1502723,"gle","latin","Inis","52.843611","-8.986389"
"242293","US","42","PPL",NA,"en","english","Jackson","40.9806483","-75.3007386"
"54195","ID","17","PPLA4",10688390,"ind","latin","Raioi","-8.5632","118.9793"
"27117","GM","4","PPL",-1200967,"en","latin","Koro Numa Kunda","13.333333","-14.5"
"279592","US","51","PPL",NA,"en","english","West View Terrace","38.0190286","-78.4927898"
"220805","US","32","PPL",NA,"en","english","Texas Acres","35.9749791","-114.9130434"
"289994","US","54","PPL",NA,"en","english","Landgraff","37.4117813","-81.4737152"
"98054","PH","21","ADM2",-2458133,"en|fil","latin","Toledo","10.383333","123.633333"
"68302","ID","7","PPLA3",6353123,"ind","latin","Rejanegara","-7.685278","109.038333"
"42373","ID","30","ADM4",6376540,"ind","latin","Sindangkempeng","-6.808889","108.499722"
"272306","US","49","PPL",NA,"en","english","Birchmont","40.6157811","-111.8868794"
"148533","US","12","PPL",NA,"en","english","Dukes","29.9663511","-82.4073362"
"105900","SD","41","PPL",-16894,"en","latin","Aineina","15.033333","32.7"
"130073","US","1","PPL",NA,"en","english","Sibert","30.744633","-88.0599995"
"245928","US","42","PPL",NA,"en","english","Richmond","39.9348218","-76.5041317"
"177253","US","21","PPL",NA,"en","english","Colo","37.0456353","-84.4838279"
"255150","US","46","PPL",NA,"en","english","Ramona","44.1194174","-97.2164532"
"155051","US","13","PPL",NA,"en","english","Henderson","32.3412677","-83.789347"
"277021","US","51","PPL",NA,"en","english","Jetersville","37.2943183","-78.0941667"
"109432","SY","4","ADM3",11792783,"ara","latin","Markaz Tall Abyaḑ","36.636905","38.856985"
"157954","US","13","PPL",NA,"en","english","Strawberry Hills","33.6270536","-84.2251981"
"102161","SB","","PPL",-1550982,"en","latin","Ravu Soundu Ulu","-8.970576","160.111149"
"105734","SD","58","PPL",-11991,"en","latin","Naurariya","13.316667","33.616667"
"271634","US","49","PPL",NA,"en","english","Glenn","40.7485573","-111.8952139"
"152090","US","12","PPL",NA,"en","english","Wellington Manors","28.1653","-82.4402"
"178976","US","22","PPL",NA,"en","english","Greewood Plantation","29.8140957","-90.8689834"
"9151","CM","8","PPL",-3158644,"en","english","Sagna","5.087998","10.490286"
"134453","US","5","PPL",NA,"en","english","Saint Joe","36.0300744","-92.8046118"
"126947","US","1","PPL",NA,"en","english","Saginaw","33.2162265","-86.7919321"
"9586","CM","8","PPL",-3151118,"en","english","Kounov","5.038657","10.096804"
"258288","US","47","PPL",NA,"en","english","Taylors Chapel","35.9264556","-85.1688527"
"277243","US","51","PPL",NA,"en","english","Old Dominion Gardens","38.9439996","-77.1913692"
"178202","US","22","PPL",NA,"en","english","Magnolia","30.5362994","-90.9881581"
"33768","GH","","PPL",-2072634,"en","latin","Adumposu","6.33682","-1.927506"
"83696","MX","32","PPL",-1668362,"es","latin","La Colorada","23.786362","-102.393953"
"212399","US","37","PPL",NA,"en","english","Nicanor","36.3329331","-76.4785547"
"270268","US","48","PPL",NA,"en","english","Memorial Pines","29.7761","-95.5469"
"75454","JP","20","ADM2",10723925,"jpn","english","香南","33.589452","133.785526"
"64952","ID","18","ADM4",10639162,"ind","latin","Ngalupolo","-8.8605","121.7499"
"31085","GH","","PPL",-2070094,"en","latin","Asunfri","7.513428","-2.270578"
"267655","US","48","PPL",NA,"en","english","Basham Number 4 Colonia","26.2772934","-98.3614056"
"90434","NG","40","PPL",-2000914,"en","latin","Augie","12.887882","4.599805"
"195225","US","26","PPL",NA,"en","english","Fox","45.48442","-87.3031773"
"78822","LR","9","PPL",-2135622,"en","latin","Vonehta","6.738056","-8.874722"
"223682","US","36","PPL",NA,"en","english","Matinecock","40.8762101","-73.5765144"
"245748","US","42","PPL",NA,"en","english","Dunring","41.5100619","-78.9975374"
"218628","US","34","PPL",NA,"en","english","Oak Hill","40.3817758","-74.0745847"
"47972","ID","18","ADM4",10542773,"ind","latin","Buar","-8.5125","120.3834"
"62056","ID","7","PPLA4",11304906,"ind","latin","Banggi","-6.7468","111.2908"
"190635","US","24","PPL",NA,"en","english","Permenter","39.3667698","-77.3169286"
"99837","KN","4","PPL",-1359418,"en","latin","Zion Hill Village","17.133333","-62.55"
"158419","US","13","PPL",NA,"en","english","Rio Ranch","33.5237244","-84.0424127"
"113515","TH","68","PPLA2",10895553,"tha","english","สิงหนคร","7.239032","100.552718"
"77780","KR","12","ADM2",-709227,"kor","english","강화","37.747453","126.426341"
"126327","US","1","PPL",NA,"en","english","Hebron","34.4853675","-86.3802634"
"288458","US","54","PPL",NA,"en","english","Breeden","37.9253743","-82.2659747"
"91332","NG","56","PPLA",-2017299,"en","latin","Lafia","8.483333","8.516667"
"58819","ID","8","ADM3",10205445,"ind","latin","Plandaan","-7.4315","112.1194"
"103597","SS","4","PPL",-12732,"en","latin","Bapiu","6.516218","31.331068"
"287837","US","54","PPL",NA,"en","english","Flatwoods","38.8798047","-81.7795763"
"204912","US","28","PPL",NA,"en","english","Epley","31.3765612","-89.5111788"
"181168","US","22","PPL",NA,"en","english","Georgeville","30.6496314","-90.6220388"
